epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,28139.1,1.09264,1.16565,1.46219,0.80862,0.73459,0.82157,0.57833,1.06564,1.01541,1.45701,0.0005348,0.0005348,0.0005348
76,28547.7,1.06076,1.16908,1.43026,0.80631,0.75235,0.82108,0.57015,1.07943,1.03488,1.47194,0.000515,0.000515,0.000515
77,28876.6,1.09456,1.16262,1.4655,0.83547,0.75109,0.83614,0.57407,1.1059,0.98748,1.48779,0.0004952,0.0004952,0.0004952
78,29288.1,1.06202,1.12682,1.44288,0.81965,0.7611,0.83431,0.58386,1.06447,0.97981,1.45542,0.0004754,0.0004754,0.0004754
79,29616.9,1.06718,1.13728,1.44712,0.82676,0.74922,0.83655,0.59559,1.05051,0.94993,1.43948,0.0004556,0.0004556,0.0004556
80,30027,1.08145,1.15103,1.44521,0.84081,0.74547,0.84437,0.59154,1.06548,0.94773,1.45154,0.0004358,0.0004358,0.0004358
81,30357.1,1.04703,1.10819,1.42346,0.86279,0.7472,0.84729,0.60766,1.02922,0.9328,1.42458,0.000416,0.000416,0.000416
82,30766.7,1.05753,1.14285,1.44808,0.83558,0.74171,0.83963,0.60395,1.01478,0.9362,1.41937,0.0003962,0.0003962,0.0003962
83,31096.2,1.05664,1.11995,1.44262,0.81379,0.77236,0.84341,0.60393,1.02048,0.91663,1.4155,0.0003764,0.0003764,0.0003764
84,31504.2,1.03726,1.09202,1.42768,0.82512,0.77799,0.85641,0.62409,0.97996,0.91277,1.38506,0.0003566,0.0003566,0.0003566
85,31834.8,1.00864,1.07954,1.40612,0.84657,0.76263,0.85583,0.62462,0.96497,0.89766,1.36753,0.0003368,0.0003368,0.0003368
86,32244.3,1.01315,1.0789,1.41519,0.83941,0.77048,0.85556,0.62403,0.97135,0.90076,1.37455,0.000317,0.000317,0.000317
87,32574.6,0.99989,1.08112,1.39324,0.84725,0.79088,0.87264,0.64494,0.95403,0.85726,1.3517,0.0002972,0.0002972,0.0002972
88,32982.8,0.99809,1.03171,1.38931,0.85766,0.78001,0.86477,0.64122,0.95022,0.86498,1.34567,0.0002774,0.0002774,0.0002774
89,33312.6,0.98757,1.03973,1.39353,0.84901,0.78769,0.8684,0.64149,0.95073,0.85446,1.35452,0.0002576,0.0002576,0.0002576
90,33720.9,1.01066,1.06254,1.39382,0.8648,0.79049,0.87508,0.64355,0.96205,0.84759,1.35068,0.0002378,0.0002378,0.0002378
91,34054.4,1.00737,0.98473,1.5152,0.86217,0.77674,0.86072,0.63192,0.95641,0.92293,1.35604,0.000218,0.000218,0.000218
92,34473.7,0.991,0.91548,1.4953,0.86846,0.78454,0.8768,0.65305,0.92126,0.84923,1.32193,0.0001982,0.0001982,0.0001982
93,34803.8,0.9527,0.85649,1.4578,0.87485,0.80175,0.88726,0.66636,0.91529,0.8046,1.32149,0.0001784,0.0001784,0.0001784
94,35223,0.94084,0.86006,1.44782,0.87982,0.8058,0.89123,0.6745,0.89937,0.77662,1.30584,0.0001586,0.0001586,0.0001586
95,35553.1,0.94905,0.82963,1.46019,0.87377,0.80863,0.89463,0.67552,0.8951,0.77372,1.29316,0.0001388,0.0001388,0.0001388
96,35972.3,0.94954,0.81976,1.45896,0.88755,0.80238,0.89654,0.6872,0.88395,0.76258,1.28651,0.000119,0.000119,0.000119
97,36301.5,0.92956,0.8338,1.43132,0.86664,0.82427,0.89555,0.68855,0.86586,0.75414,1.27653,9.92e-05,9.92e-05,9.92e-05
98,36720.7,0.91972,0.82742,1.42703,0.88401,0.81426,0.90187,0.69601,0.85846,0.73608,1.26474,7.94e-05,7.94e-05,7.94e-05
99,37050.5,0.90076,0.78212,1.41754,0.89742,0.81525,0.90715,0.70424,0.84786,0.71884,1.25529,5.96e-05,5.96e-05,5.96e-05
100,37470.1,0.91609,0.77448,1.42841,0.9002,0.81676,0.90787,0.70503,0.84456,0.71688,1.25061,3.98e-05,3.98e-05,3.98e-05
